bin_low_edge,contents,binerror,xtitle,binlabel
70.5,0.0,0.0,,
71.5,0.0,0.0836585,,
72.5,0.0,0.0836585,,
73.5,0.0,0.0836585,,
74.5,0.0,0.0836585,,
75.5,0.0,0.0836585,,
76.5,0.0,0.0836585,,
77.5,0.0,0.0836585,,
78.5,0.0,0.0836585,,
79.5,0.0,0.0836585,,
80.5,0.0,0.0836585,,
81.5,0.2,0.161221,,
82.5,0.0,0.0836585,,
83.5,0.0,0.0836585,,
84.5,0.2,0.161221,,
85.5,0.0,0.0836585,,
86.5,0.0,0.0836585,,
87.5,0.0,0.0836585,,
88.5,0.0,0.0836585,,
89.5,0.0,0.0836585,,
90.5,0.0,0.0836585,,
91.5,0.0,0.0836585,,
92.5,0.2,0.161221,,
93.5,0.0,0.0836585,,
94.5,0.0,0.0836585,,
95.5,0.0,0.0836585,,
96.5,0.2,0.161221,,
97.5,0.0,0.0836585,,
98.5,0.0,0.0836585,,
99.5,0.0,0.0836585,,
100.5,0.2,0.161221,,
101.5,0.0,0.0836585,,
102.5,0.0,0.0836585,,
103.5,0.0,0.0836585,,
104.5,0.0,0.0836585,,
105.5,0.0,0.0836585,,
106.5,0.0,0.0836585,,
107.5,0.0,0.0836585,,
108.5,0.2,0.161221,,
109.5,0.0,0.0836585,,
110.5,0.0,0.0836585,,
111.5,0.0,0.0836585,,
112.5,0.0,0.0836585,,
113.5,0.0,0.0836585,,
114.5,0.0,0.0836585,,
115.5,0.2,0.161221,,
116.5,0.0,0.0836585,,
117.5,0.0,0.0836585,,
118.5,0.0,0.0836585,,
119.5,0.0,0.0836585,,
120.5,0.0,0.0836585,,
121.5,0.0,0.0836585,,
122.5,0.2,0.161221,,
123.5,0.0,0.0836585,,
124.5,0.0,0.0836585,,
125.5,0.0,0.0836585,,
126.5,0.0,0.0836585,,
127.5,0.0,0.0836585,,
128.5,0.0,0.0836585,,
129.5,0.0,0.0836585,,
130.5,0.0,0.0836585,,
131.5,0.0,0.0836585,,
132.5,0.0,0.0836585,,
133.5,0.0,0.0836585,,
134.5,0.0,0.0836585,,
135.5,0.0,0.0836585,,
136.5,0.0,0.0836585,,
137.5,0.0,0.0836585,,
138.5,0.0,0.0836585,,
139.5,0.0,0.0836585,,
140.5,0.0,0.0836585,,
141.5,0.0,0.0836585,,
142.5,0.0,0.0836585,,
143.5,0.0,0.0836585,,
144.5,0.4,0.18050000000000002,,
145.5,0.0,0.0836585,,
146.5,0.0,0.0836585,,
147.5,0.0,0.0836585,,
148.5,0.0,0.0836585,,
149.5,0.6,0.18049999999999997,,
150.5,0.0,0.0836585,,
151.5,0.0,0.0836585,,
152.5,0.0,0.0836585,,
153.5,0.0,0.0836585,,
154.5,0.0,0.0836585,,
155.5,0.0,0.0836585,,
156.5,0.0,0.0836585,,
157.5,0.8,0.161221,,
158.5,0.0,0.0836585,,
159.5,0.0,0.0836585,,
160.5,0.0,0.0836585,,
161.5,0.0,0.0836585,,
162.5,1.0,0.08365841117219786,,
163.5,0.2,0.161221,,
164.5,0.0,0.0836585,,
165.5,0.0,0.0836585,,
166.5,0.0,0.0836585,,
167.5,0.0,0.0836585,,
168.5,0.0,0.0836585,,
169.5,0.0,0.0836585,,
170.5,0.0,0.0836585,,
171.5,0.0,0.0836585,,
172.5,0.2,0.161221,,
173.5,0.0,0.0836585,,
174.5,0.0,0.0836585,,
175.5,0.0,0.0836585,,
176.5,0.0,0.0836585,,
177.5,0.0,0.0836585,,
178.5,0.0,0.0836585,,
179.5,0.0,0.0836585,,
180.5,0.0,0.0836585,,
181.5,0.0,0.0836585,,
182.5,0.0,0.0836585,,
183.5,0.4,0.18050000000000002,,
184.5,1.0,0.08365841117219786,,
185.5,0.2,0.161221,,
186.5,0.0,0.0836585,,
187.5,1.0,0.08365841117219786,,
188.5,0.4,0.18050000000000002,,
189.5,1.0,0.08365841117219786,,
190.5,0.6,0.18049999999999997,,
191.5,0.6,0.18049999999999997,,
192.5,0.2,0.161221,,
193.5,0.0,0.0836585,,
194.5,0.0,0.0836585,,
195.5,1.0,0.08365841117219786,,
196.5,0.0,0.0836585,,
197.5,1.0,0.08365841117219786,,
198.5,0.6,0.18049999999999997,,
199.5,0.6,0.18049999999999997,,
200.5,0.0,0.0836585,,
201.5,0.0,0.0836585,,
202.5,0.0,0.0836585,,
203.5,0.0,0.0836585,,
204.5,0.0,0.0836585,,
205.5,0.6,0.18049999999999997,,
206.5,0.0,0.0836585,,
207.5,0.0,0.0836585,,
208.5,0.0,0.0836585,,
209.5,0.2,0.161221,,
210.5,0.0,0.0836585,,
211.5,0.0,0.0836585,,
212.5,0.0,0.0836585,,
213.5,0.0,0.0836585,,
214.5,0.0,0.0836585,,
215.5,0.0,0.0836585,,
216.5,0.0,0.0836585,,
217.5,0.0,0.0836585,,
218.5,0.0,0.0836585,,
219.5,0.0,0.0836585,,
220.5,0.0,0.0836585,,
221.5,0.0,0.0836585,,
222.5,0.4,0.18050000000000002,,
223.5,0.8,0.161221,,
224.5,0.0,0.0836585,,
225.5,0.0,0.0836585,,
226.5,0.0,0.0836585,,
227.5,0.0,0.0836585,,
228.5,0.0,0.0836585,,
229.5,0.0,0.0836585,,
230.5,0.0,0.0836585,,
231.5,0.0,0.0836585,,
232.5,0.0,0.0836585,,
233.5,0.0,0.0836585,,
234.5,0.0,0.0836585,,
235.5,0.0,0.0836585,,
236.5,0.0,0.0836585,,
237.5,0.0,0.0836585,,
238.5,0.0,0.0836585,,
239.5,0.0,0.0836585,,
240.5,0.4,0.18050000000000002,,
241.5,0.0,0.0836585,,
242.5,0.4,0.18050000000000002,,
243.5,0.0,0.0836585,,
244.5,0.0,0.0836585,,
245.5,0.0,0.0836585,,
246.5,0.2,0.161221,,
247.5,0.2,0.161221,,
248.5,0.0,0.0836585,,
249.5,0.0,0.0836585,,
250.5,0.0,0.0836585,,
251.5,0.2,0.161221,,
252.5,0.0,0.0836585,,
253.5,0.0,0.0836585,,
254.5,0.0,0.0836585,,
255.5,0.0,0.0836585,,
256.5,0.6,0.18049999999999997,,
257.5,0.0,0.0836585,,
258.5,0.0,0.0836585,,
259.5,0.0,0.0836585,,
260.5,0.0,0.0836585,,
261.5,0.0,0.0836585,,
262.5,0.0,0.0836585,,
263.5,0.0,0.0836585,,
264.5,0.0,0.0836585,,
265.5,0.0,0.0836585,,
266.5,0.0,0.0836585,,
267.5,0.0,0.0836585,,
268.5,0.0,0.0836585,,
269.5,0.0,0.0836585,,
270.5,0.0,0.0836585,,
271.5,0.0,0.0836585,,
272.5,0.0,0.0836585,,
273.5,0.0,0.0836585,,
274.5,0.2,0.161221,,
275.5,0.0,0.0836585,,
276.5,0.0,0.0836585,,
277.5,0.4,0.18050000000000002,,
278.5,0.0,0.0836585,,
279.5,0.0,0.0836585,,
280.5,0.0,0.0836585,,
281.5,0.0,0.0836585,,
282.5,0.0,0.0836585,,
283.5,0.0,0.0836585,,
284.5,0.0,0.0836585,,
285.5,0.0,0.0836585,,
286.5,0.0,0.0836585,,
287.5,0.0,0.0836585,,
288.5,0.0,0.0836585,,
289.5,0.0,0.0,,
