bin_low_edge,contents,binerror,xtitle,binlabel
-9.5,0.0,0.0,inferred - true,
-8.5,0.005,0.005,inferred - true,
-7.5,0.005,0.005,inferred - true,
-6.5,0.01,0.007071067811865475,inferred - true,
-5.5,0.0,0.0,inferred - true,
-4.5,0.035,0.013228756555322954,inferred - true,
-3.5,0.01,0.007071067811865475,inferred - true,
-2.5,0.12,0.02449489742783178,inferred - true,
-1.5,0.06,0.017320508075688773,inferred - true,
-0.5,0.685,0.05852349955359813,inferred - true,
0.5,0.045,0.015000000000000001,inferred - true,
1.5,0.01,0.007071067811865475,inferred - true,
2.5,0.015,0.008660254037844387,inferred - true,
3.5,0.0,0.0,inferred - true,
