bin_low_edge,contents,binerror,xtitle,binlabel
-1.5,0.0,0.0,hamming distance,
-0.5,0.195,0.031224989991991994,hamming distance,
0.5,0.17500000000000002,0.02958039891549808,hamming distance,
1.5,0.135,0.02598076211353316,hamming distance,
2.5,0.13,0.025495097567963924,hamming distance,
3.5,0.06,0.017320508075688773,hamming distance,
4.5,0.1,0.0223606797749979,hamming distance,
5.5,0.055,0.016583123951777,hamming distance,
6.5,0.035,0.013228756555322954,hamming distance,
7.5,0.03,0.01224744871391589,hamming distance,
8.5,0.025,0.01118033988749895,hamming distance,
9.5,0.015,0.008660254037844387,hamming distance,
10.5,0.01,0.007071067811865475,hamming distance,
11.5,0.01,0.007071067811865475,hamming distance,
12.5,0.005,0.005,hamming distance,
13.5,0.01,0.007071067811865475,hamming distance,
14.5,0.005,0.005,hamming distance,
15.5,0.0,0.0,hamming distance,
16.5,0.005,0.005,hamming distance,
17.5,0.0,0.0,hamming distance,
